id,nome,categoria
1,Item 001,Categoria A
2,Item 002,Categoria B
3,Item 003,Categoria C
4,Item 004,Categoria A
5,Item 005,Categoria B
6,Item 006,Categoria C
7,Item 007,Categoria A
8,Item 008,Categoria B
9,Item 009,Categoria C
10,Item 010,Categoria A
11,Item 011,Categoria B
12,Item 012,Categoria C
13,Item 013,Categoria A
14,Item 014,Categoria B
15,Item 015,Categoria C
16,Item 016,Categoria A
17,Item 017,Categoria B
18,Item 018,Categoria C
19,Item 019,Categoria A
20,Item 020,Categoria B
21,Item 021,Categoria C
22,Item 022,Categoria A
23,Item 023,Categoria B
24,Item 024,Categoria C
25,Item 025,Categoria A
26,Item 026,Categoria B
27,Item 027,Categoria C
28,Item 028,Categoria A
29,Item 029,Categoria B
30,Item 030,Categoria C
31,Item 031,Categoria A
32,Item 032,Categoria B
33,Item 033,Categoria C
34,Item 034,Categoria A
35,Item 035,Categoria B
36,Item 036,Categoria C
37,Item 037,Categoria A
38,Item 038,Categoria B
39,Item 039,Categoria C
40,Item 040,Categoria A
41,Item 041,Categoria B
42,Item 042,Categoria C
43,Item 043,Categoria A
44,Item 044,Categoria B
45,Item 045,Categoria C
46,Item 046,Categoria A
47,Item 047,Categoria B
48,Item 048,Categoria C
49,Item 049,Categoria A
50,Item 050,Categoria B
51,Item 051,Categoria C
52,Item 052,Categoria A
53,Item 053,Categoria B
54,Item 054,Categoria C
55,Item 055,Categoria A
56,Item 056,Categoria B
57,Item 057,Categoria C
58,Item 058,Categoria A
59,Item 059,Categoria B
60,Item 060,Categoria C
61,Item 061,Categoria A
62,Item 062,Categoria B
63,Item 063,Categoria C
64,Item 064,Categoria A
65,Item 065,Categoria B
66,Item 066,Categoria C
67,Item 067,Categoria A
68,Item 068,Categoria B
69,Item 069,Categoria C
70,Item 070,Categoria A
71,Item 071,Categoria B
72,Item 072,Categoria C
73,Item 073,Categoria A
74,Item 074,Categoria B
75,Item 075,Categoria C
76,Item 076,Categoria A
77,Item 077,Categoria B
78,Item 078,Categoria C
79,Item 079,Categoria A
80,Item 080,Categoria B
81,Item 081,Categoria C
82,Item 082,Categoria A
83,Item 083,Categoria B
84,Item 084,Categoria C
85,Item 085,Categoria A
86,Item 086,Categoria B
87,Item 087,Categoria C
88,Item 088,Categoria A
89,Item 089,Categoria B
90,Item 090,Categoria C
91,Item 091,Categoria A
92,Item 092,Categoria B
93,Item 093,Categoria C
94,Item 094,Categoria A
95,Item 095,Categoria B
96,Item 096,Categoria C
97,Item 097,Categoria A
98,Item 098,Categoria B
99,Item 099,Categoria C
100,Item 100,Categoria A
